
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Here' | Latency: 239.64ms
Token 543: '+' | Latency: 7.39ms
Token 544: ' You' | Latency: 7.45ms
Token 545: ' want' | Latency: 7.41ms
Token 546: ' a' | Latency: 7.41ms
Token 547: ' flexible' | Latency: 7.38ms
Token 548: ',' | Latency: 7.41ms
Token 549: ' high' | Latency: 7.38ms
Token 550: '-level' | Latency: 7.44ms
Token 551: ' language' | Latency: 7.40ms
Token 552: ' with' | Latency: 7.43ms
Token 553: ' rapid' | Latency: 7.39ms
Token 554: ' development' | Latency: 7.42ms
Token 555: ' capabilities' | Latency: 7.42ms
Token 556: '.
' | Latency: 9.16ms
Token 557: '	' | Latency: 8.07ms
Token 558: '+' | Latency: 7.99ms
Token 559: ' You' | Latency: 8.49ms
Token 560: ''re' | Latency: 7.88ms
Token 561: ' working' | Latency: 7.27ms
Token 562: ' in' | Latency: 7.43ms
Token 563: ' data' | Latency: 7.36ms
Token 564: ' science' | Latency: 7.41ms
Token 565: ',' | Latency: 7.37ms
Token 566: ' machine' | Latency: 7.37ms
Token 567: ' learning' | Latency: 7.30ms
Token 568: ',' | Latency: 7.46ms
Token 569: ' or' | Latency: 7.33ms
Token 570: ' scientific' | Latency: 7.41ms
Token 571: ' computing' | Latency: 7.36ms
Token 572: '.
' | Latency: 7.42ms
Token 573: '	' | Latency: 7.41ms
Token 574: '+' | Latency: 7.50ms
Token 575: ' You' | Latency: 7.26ms
Token 576: ' need' | Latency: 7.45ms
Token 577: ' to' | Latency: 7.31ms
Token 578: ' quickly' | Latency: 7.48ms
Token 579: ' prototype' | Latency: 7.31ms
Token 580: ' ideas' | Latency: 7.63ms
Token 581: ' or' | Latency: 7.29ms
Token 582: ' create' | Latency: 7.43ms
Token 583: ' scripts' | Latency: 7.35ms
Token 584: '.

' | Latency: 7.44ms
Token 585: 'Keep' | Latency: 7.33ms
Token 586: ' in' | Latency: 7.47ms
Token 587: ' mind' | Latency: 7.34ms
Token 588: ' that' | Latency: 7.65ms
Token 589: ' both' | Latency: 7.34ms
Token 590: ' languages' | Latency: 7.49ms
Token 591: ' can' | Latency: 7.37ms
Token 592: ' be' | Latency: 7.52ms
Token 593: ' used' | Latency: 7.40ms
Token 594: ' together' | Latency: 7.55ms
Token 595: ':' | Latency: 7.37ms
Token 596: ' C' | Latency: 7.51ms
Token 597: '++' | Latency: 7.32ms
Token 598: ' code' | Latency: 7.43ms
Token 599: ' can' | Latency: 7.39ms
Token 600: ' be' | Latency: 7.43ms
Token 601: ' called' | Latency: 7.44ms
Token 602: ' from' | Latency: 7.42ms
Token 603: ' Python' | Latency: 7.40ms
Token 604: ' using' | Latency: 7.44ms
Token 605: ' libraries' | Latency: 7.43ms
Token 606: ' like' | Latency: 7.46ms
Token 607: ' Py' | Latency: 7.47ms
Token 608: 'C' | Latency: 7.52ms
Token 609: '++' | Latency: 7.53ms
Token 610: ' or' | Latency: 7.51ms
Token 611: ' ctypes' | Latency: 8.73ms
Token 612: ',' | Latency: 6.32ms
Token 613: ' and' | Latency: 7.39ms
Token 614: ' Python' | Latency: 7.47ms
Token 615: ' code' | Latency: 7.36ms
Token 616: ' can' | Latency: 7.45ms
Token 617: ' be' | Latency: 7.26ms
Token 618: ' embedded' | Latency: 7.43ms
Token 619: ' in' | Latency: 7.46ms
Token 620: ' C' | Latency: 7.35ms
Token 621: '++' | Latency: 7.41ms
Token 622: ' applications' | Latency: 7.55ms
Token 623: '.' | Latency: 7.30ms

--- Summary ---
Total tokens: 623
TTFT: 289.35ms
TPOT: 7.93ms
ITL Mean: 7.46ms
Throughput: 126.10 tok/s

============================================================
Request 3/5
Prompt: Write a short poem about artificial intelligence.
============================================================
Token 1: 'Here' | Latency: 236.43ms
Token 2: ' is' | Latency: 8.87ms
Token 3: ' a' | Latency: 7.14ms
Token 4: ' short' | Latency: 7.18ms
Token 5: ' poem' | Latency: 7.98ms
Token 6: ' about' | Latency: 7.17ms
Token 7: ' artificial' | Latency: 7.11ms
Token 8: ' intelligence' | Latency: 7.23ms
Token 9: ':

' | Latency: 7.20ms
Token 10: 'M' | Latency: 7.19ms
Token 11: 'inds' | Latency: 7.17ms
Token 12: ' of' | Latency: 7.22ms
Token 13: ' metal' | Latency: 7.22ms
Token 14: ',' | Latency: 7.28ms
Token 15: ' eyes' | Latency: 7.28ms
Token 16: ' of' | Latency: 7.28ms
Token 17: ' code' | Latency: 7.28ms
Token 18: '
' | Latency: 7.32ms
Token 19: 'Learning' | Latency: 7.28ms
Token 20: ',' | Latency: 7.34ms
Token 21: ' growing' | Latency: 7.52ms
Token 22: ',' | Latency: 7.19ms
Token 23: ' with' | Latency: 7.26ms
Token 24: ' each' | Latency: 7.36ms
Token 25: ' step' | Latency: 7.19ms
Token 26: ' employed' | Latency: 7.27ms
Token 27: '
' | Latency: 7.20ms
Token 28: 'Int' | Latency: 7.26ms
Token 29: 'elligence' | Latency: 7.24ms
Token 30: ' born' | Latency: 7.30ms
Token 31: ' from' | Latency: 7.12ms
Token 32: ' human' | Latency: 7.22ms
Token 33: ' design' | Latency: 7.28ms
Token 34: '
' | Latency: 7.24ms
Token 35: 'A' | Latency: 7.30ms
Token 36: ' future' | Latency: 7.46ms
Token 37: ' unfolding' | Latency: 7.12ms
Token 38: ',' | Latency: 7.30ms
Token 39: ' yet' | Latency: 7.29ms
Token 40: ' to' | Latency: 7.38ms
Token 41: ' be' | Latency: 7.28ms
Token 42: ' defined' | Latency: 7.40ms
Token 43: '

' | Latency: 7.35ms
Token 44: 'With' | Latency: 7.40ms
Token 45: ' logic' | Latency: 7.23ms
Token 46: ' and' | Latency: 7.47ms
Token 47: ' reason' | Latency: 7.24ms
Token 48: ',' | Latency: 7.29ms
Token 49: ' it' | Latency: 7.64ms
Token 50: ' makes' | Latency: 7.15ms
Token 51: ' its' | Latency: 7.43ms
Token 52: ' way' | Latency: 7.29ms
Token 53: '
' | Latency: 7.47ms
Token 54: 'Through' | Latency: 7.39ms
Token 55: ' data' | Latency: 7.31ms
Token 56: ' and' | Latency: 7.41ms
Token 57: ' algorithms' | Latency: 7.34ms
Token 58: ',' | Latency: 7.32ms
Token 59: ' night' | Latency: 7.37ms
Token 60: ' and' | Latency: 7.25ms
Token 61: ' day' | Latency: 7.22ms
Token 62: '
' | Latency: 7.40ms
Token 63: 'Creating' | Latency: 7.29ms
Token 64: ',' | Latency: 8.93ms
Token 65: ' innov' | Latency: 7.91ms
Token 66: 'ating' | Latency: 7.86ms
Token 67: ',' | Latency: 7.34ms
Token 68: ' with' | Latency: 7.39ms
Token 69: ' speed' | Latency: 7.22ms
Token 70: ' and' | Latency: 7.41ms
Token 71: ' might' | Latency: 7.22ms
Token 72: '
' | Latency: 7.39ms
Token 73: 'A' | Latency: 7.21ms
Token 74: ' new' | Latency: 7.36ms
Token 75: ' era' | Latency: 7.26ms
Token 76: ' d' | Latency: 7.33ms
Token 77: 'awns' | Latency: 7.27ms
Token 78: ',' | Latency: 7.34ms
Token 79: ' in' | Latency: 7.32ms
Token 80: ' artificial' | Latency: 7.20ms
Token 81: ' light' | Latency: 7.29ms
Token 82: '.' | Latency: 7.33ms

--- Summary ---
Total tokens: 82
TTFT: 236.43ms
TPOT: 10.25ms
ITL Mean: 7.35ms
Throughput: 97.53 tok/s

============================================================
Request 4/5
Prompt: Describe the Big O notation and why it matters.
============================================================
Token 1: '**' | Latency: 233.47ms
Token 2: 'Big' | Latency: 7.58ms
Token 3: ' O' | Latency: 8.55ms
Token 4: ' Not' | Latency: 7.67ms
Token 5: 'ation' | Latency: 7.68ms
Token 6: '**
' | Latency: 7.21ms
Token 7: '================' | Latency: 7.28ms
Token 8: '====' | Latency: 7.15ms
Token 9: '

' | Latency: 7.21ms
Token 10: 'Big' | Latency: 7.18ms
Token 11: ' O' | Latency: 7.45ms
Token 12: ' notation' | Latency: 7.39ms
Token 13: ' is' | Latency: 7.11ms
Token 14: ' a' | Latency: 7.39ms
Token 15: ' mathematical' | Latency: 7.25ms
Token 16: ' way' | Latency: 7.33ms
Token 17: ' to' | Latency: 7.32ms
Token 18: ' describe' | Latency: 7.39ms
Token 19: ' the' | Latency: 7.22ms
Token 20: ' performance' | Latency: 7.32ms
Token 21: ' or' | Latency: 7.22ms
Token 22: ' complexity' | Latency: 7.31ms
Token 23: ' of' | Latency: 7.26ms
Token 24: ' an' | Latency: 7.20ms
Token 25: ' algorithm' | Latency: 7.34ms
Token 26: ',' | Latency: 7.28ms
Token 27: ' typically' | Latency: 7.23ms
Token 28: ' measured' | Latency: 7.46ms
Token 29: ' in' | Latency: 7.13ms
Token 30: ' terms' | Latency: 7.30ms
Token 31: ' of' | Latency: 7.20ms
Token 32: ' time' | Latency: 7.31ms
Token 33: ' or' | Latency: 7.22ms
Token 34: ' space' | Latency: 7.24ms
Token 35: ' required' | Latency: 7.39ms
Token 36: ' to' | Latency: 7.19ms
Token 37: ' complete' | Latency: 7.26ms
Token 38: ' a' | Latency: 7.26ms
Token 39: ' task' | Latency: 7.20ms
Token 40: '.' | Latency: 7.51ms
Token 41: ' It' | Latency: 7.21ms
Token 42: ' provides' | Latency: 7.27ms
Token 43: ' an' | Latency: 7.29ms
Token 44: ' upper' | Latency: 7.36ms
Token 45: ' bound' | Latency: 7.31ms
Token 46: ' on' | Latency: 7.44ms
Token 47: ' the' | Latency: 7.22ms
Token 48: ' number' | Latency: 7.47ms
Token 49: ' of' | Latency: 7.29ms
Token 50: ' steps' | Latency: 7.42ms
Token 51: ' an' | Latency: 7.29ms
Token 52: ' algorithm' | Latency: 7.44ms
Token 53: ' takes' | Latency: 7.36ms
Token 54: ' to' | Latency: 7.38ms
Token 55: ' complete' | Latency: 7.37ms
Token 56: '.

' | Latency: 7.39ms
Token 57: '**' | Latency: 7.29ms
Token 58: 'Definition' | Latency: 7.46ms
Token 59: '**
' | Latency: 7.26ms
Token 60: '------------' | Latency: 7.37ms
Token 61: '-

' | Latency: 7.30ms
Token 62: 'Given' | Latency: 7.58ms
Token 63: ' two' | Latency: 7.19ms
Token 64: ' functions' | Latency: 7.48ms
Token 65: ' f' | Latency: 7.29ms
Token 66: '(n' | Latency: 7.36ms
Token 67: ')' | Latency: 7.37ms
Token 68: ' and' | Latency: 7.49ms
Token 69: ' g' | Latency: 7.23ms
Token 70: '(n' | Latency: 7.44ms
Token 71: '),' | Latency: 7.35ms
Token 72: ' we' | Latency: 9.52ms
Token 73: ' say' | Latency: 8.31ms
Token 74: ' that' | Latency: 7.34ms
Token 75: ':

' | Latency: 7.36ms
Token 76: '*' | Latency: 9.06ms
Token 77: '  ' | Latency: 7.72ms
Token 78: ' `' | Latency: 7.49ms
Token 79: 'f' | Latency: 7.30ms
Token 80: '(n' | Latency: 7.32ms
Token 81: ')' | Latency: 7.24ms
Token 82: ' =' | Latency: 7.32ms
Token 83: ' O' | Latency: 7.32ms
Token 84: '(g' | Latency: 7.37ms
Token 85: '(n' | Latency: 7.30ms
Token 86: '))' | Latency: 7.54ms
Token 87: '`' | Latency: 7.14ms
Token 88: ' if' | Latency: 7.40ms
Token 89: ' there' | Latency: 7.27ms
Token 90: ' exist' | Latency: 7.39ms
Token 91: ' constants' | Latency: 7.27ms
Token 92: ' c' | Latency: 7.33ms
Token 93: ' and' | Latency: 7.31ms
Token 94: ' n' | Latency: 7.34ms
Token 95: '0' | Latency: 7.30ms
Token 96: ' such' | Latency: 7.35ms
Token 97: ' that' | Latency: 7.31ms
Token 98: ' ' | Latency: 7.33ms
Token 99: '0' | Latency: 7.32ms
Token 100: ' ≤' | Latency: 7.36ms
Token 101: ' f' | Latency: 7.33ms
Token 102: '(n' | Latency: 7.30ms
Token 103: ')' | Latency: 7.27ms
Token 104: ' ≤' | Latency: 7.35ms
Token 105: ' cg' | Latency: 7.30ms
Token 106: '(n' | Latency: 7.31ms
Token 107: ')' | Latency: 7.27ms
Token 108: ' for' | Latency: 7.31ms
Token 109: ' all' | Latency: 7.31ms
Token 110: ' n' | Latency: 7.32ms
Token 111: ' ≥' | Latency: 7.35ms
Token 112: ' n' | Latency: 7.36ms
Token 113: '0' | Latency: 7.33ms
Token 114: '.
' | Latency: 7.34ms
Token 115: '*' | Latency: 7.32ms
Token 116: '  ' | Latency: 7.37ms
Token 117: ' In' | Latency: 7.34ms
Token 118: ' simpler' | Latency: 7.36ms
Token 119: ' terms' | Latency: 7.28ms
Token 120: ',' | Latency: 7.31ms
Token 121: ' f' | Latency: 7.30ms
Token 122: '(n' | Latency: 7.33ms
Token 123: ')' | Latency: 7.26ms
Token 124: ' grows' | Latency: 7.34ms
Token 125: ' at' | Latency: 7.33ms
Token 126: ' most' | Latency: 7.36ms
Token 127: ' as' | Latency: 7.34ms
Token 128: ' fast' | Latency: 7.38ms
Token 129: ' as' | Latency: 7.43ms
Token 130: ' g' | Latency: 7.93ms
Token 131: '(n' | Latency: 7.82ms
Token 132: ').

' | Latency: 7.31ms
Token 133: '**' | Latency: 7.37ms
Token 134: 'Common' | Latency: 7.96ms
Token 135: ' Examples' | Latency: 7.25ms
Token 136: '**
' | Latency: 7.33ms
Token 137: '----------------' | Latency: 7.26ms
Token 138: '--

' | Latency: 7.35ms
Token 139: '*' | Latency: 7.27ms
Token 140: '  ' | Latency: 7.34ms
Token 141: ' **' | Latency: 7.29ms
Token 142: 'O' | Latency: 7.32ms
Token 143: '(' | Latency: 7.27ms
Token 144: '1' | Latency: 7.40ms
Token 145: ')**' | Latency: 7.49ms
Token 146: ' -' | Latency: 7.18ms
Token 147: ' Constant' | Latency: 7.31ms
Token 148: ' time' | Latency: 7.33ms
Token 149: ' complexity' | Latency: 7.37ms
Token 150: '.' | Latency: 7.29ms
Token 151: ' The' | Latency: 7.31ms
Token 152: ' algorithm' | Latency: 7.41ms
Token 153: ' takes' | Latency: 7.25ms
Token 154: ' the' | Latency: 7.39ms
Token 155: ' same' | Latency: 7.29ms
Token 156: ' amount' | Latency: 7.47ms
Token 157: ' of' | Latency: 7.24ms
Token 158: ' time' | Latency: 7.39ms
Token 159: ' regardless' | Latency: 7.32ms
Token 160: ' of' | Latency: 7.37ms
Token 161: ' input' | Latency: 7.59ms
Token 162: ' size' | Latency: 7.26ms
Token 163: '.
' | Latency: 7.24ms
Token 164: '*' | Latency: 7.38ms
Token 165: '  ' | Latency: 7.35ms
Token 166: ' **' | Latency: 7.60ms
Token 167: 'O' | Latency: 7.20ms
Token 168: '(log' | Latency: 7.32ms
Token 169: ' n' | Latency: 7.33ms
Token 170: ')**' | Latency: 7.39ms
Token 171: ' -' | Latency: 7.33ms
Token 172: ' Log' | Latency: 7.40ms
Token 173: 'arith' | Latency: 7.36ms
Token 174: 'mic' | Latency: 7.38ms
Token 175: ' time' | Latency: 7.34ms
Token 176: ' complexity' | Latency: 7.38ms
Token 177: '.' | Latency: 7.44ms
Token 178: ' The' | Latency: 7.30ms
Token 179: ' algorithm' | Latency: 7.32ms
Token 180: ' takes' | Latency: 7.37ms
Token 181: ' time' | Latency: 7.34ms
Token 182: ' proportional' | Latency: 7.38ms
Token 183: ' to' | Latency: 7.32ms
Token 184: ' the' | Latency: 7.38ms
Token 185: ' logarith' | Latency: 7.34ms
Token 186: 'm' | Latency: 7.38ms
Token 187: ' of' | Latency: 7.34ms
Token 188: ' the' | Latency: 7.37ms
Token 189: ' input' | Latency: 7.33ms
Token 190: ' size' | Latency: 7.37ms
Token 191: '.
' | Latency: 7.31ms
Token 192: '*' | Latency: 7.35ms
Token 193: '  ' | Latency: 7.32ms
Token 194: ' **' | Latency: 7.36ms
Token 195: 'O' | Latency: 7.31ms
Token 196: '(n' | Latency: 7.33ms
Token 197: ')**' | Latency: 7.31ms
Token 198: ' -' | Latency: 7.37ms
Token 199: ' Linear' | Latency: 7.23ms
Token 200: ' time' | Latency: 7.27ms
Token 201: ' complexity' | Latency: 7.26ms
Token 202: '.' | Latency: 7.26ms
Token 203: ' The' | Latency: 7.22ms
Token 204: ' algorithm' | Latency: 7.25ms
Token 205: ' takes' | Latency: 7.23ms
Token 206: ' time' | Latency: 7.28ms
Token 207: ' proportional' | Latency: 7.26ms
Token 208: ' to' | Latency: 7.21ms
Token 209: ' the' | Latency: 7.24ms
Token 210: ' input' | Latency: 7.35ms
Token 211: ' size' | Latency: 7.28ms
Token 212: '.
' | Latency: 7.30ms
Token 213: '*' | Latency: 7.27ms
Token 214: '  ' | Latency: 7.32ms
Token 215: ' **' | Latency: 7.26ms
Token 216: 'O' | Latency: 7.31ms
Token 217: '(n' | Latency: 7.27ms
Token 218: ' log' | Latency: 7.30ms
Token 219: ' n' | Latency: 7.27ms
Token 220: ')**' | Latency: 7.30ms
Token 221: ' -' | Latency: 7.22ms
Token 222: ' Linear' | Latency: 7.26ms
Token 223: 'ith' | Latency: 7.22ms
Token 224: 'mic' | Latency: 7.32ms
Token 225: ' time' | Latency: 7.27ms
Token 226: ' complexity' | Latency: 7.30ms
Token 227: '.' | Latency: 7.28ms
Token 228: ' The' | Latency: 7.32ms
Token 229: ' algorithm' | Latency: 7.30ms
Token 230: ' takes' | Latency: 7.30ms
Token 231: ' time' | Latency: 7.31ms
Token 232: ' proportional' | Latency: 7.35ms
Token 233: ' to' | Latency: 7.28ms
Token 234: ' the' | Latency: 7.31ms
Token 235: ' product' | Latency: 7.27ms
Token 236: ' of' | Latency: 7.33ms
Token 237: ' the' | Latency: 7.28ms
Token 238: ' input' | Latency: 10.75ms
Token 239: ' size' | Latency: 7.38ms
Token 240: ' and' | Latency: 7.38ms
Token 241: ' its' | Latency: 7.30ms
Token 242: ' logarith' | Latency: 7.36ms
Token 243: 'm' | Latency: 7.29ms
Token 244: '.
' | Latency: 7.39ms
Token 245: '*' | Latency: 7.54ms
Token 246: '  ' | Latency: 7.14ms
Token 247: ' **' | Latency: 7.42ms
Token 248: 'O' | Latency: 7.20ms
Token 249: '(n' | Latency: 7.38ms
Token 250: '^' | Latency: 7.29ms
Token 251: '2' | Latency: 7.30ms
Token 252: ')**' | Latency: 7.34ms
Token 253: ' -' | Latency: 7.34ms
Token 254: ' Quadr' | Latency: 7.43ms
Token 255: 'atic' | Latency: 7.37ms
Token 256: ' time' | Latency: 7.43ms
Token 257: ' complexity' | Latency: 7.41ms
Token 258: '.' | Latency: 7.42ms
Token 259: ' The' | Latency: 7.41ms
Token 260: ' algorithm' | Latency: 7.46ms
Token 261: ' takes' | Latency: 7.39ms
Token 262: ' time' | Latency: 8.08ms
Token 263: ' proportional' | Latency: 6.77ms
Token 264: ' to' | Latency: 7.45ms
Token 265: ' the' | Latency: 7.30ms
Token 266: ' square' | Latency: 7.50ms
Token 267: ' of' | Latency: 7.30ms
Token 268: ' the' | Latency: 7.49ms
Token 269: ' input' | Latency: 7.26ms
Token 270: ' size' | Latency: 7.42ms
Token 271: '.

' | Latency: 7.24ms
Token 272: '**' | Latency: 7.41ms
Token 273: 'Why' | Latency: 7.28ms
Token 274: ' it' | Latency: 7.80ms
Token 275: ' Matters' | Latency: 7.71ms
Token 276: '**
' | Latency: 7.95ms
Token 277: '----------------' | Latency: 7.23ms
Token 278: '-

' | Latency: 7.36ms
Token 279: 'Big' | Latency: 7.35ms
Token 280: ' O' | Latency: 7.40ms
Token 281: ' notation' | Latency: 7.42ms
Token 282: ' is' | Latency: 7.42ms
Token 283: ' crucial' | Latency: 7.38ms
Token 284: ' in' | Latency: 7.40ms
Token 285: ' computer' | Latency: 7.38ms
Token 286: ' science' | Latency: 7.40ms
Token 287: ' because' | Latency: 7.36ms
Token 288: ' it' | Latency: 7.43ms
Token 289: ':

' | Latency: 7.38ms
Token 290: '1' | Latency: 7.39ms
Token 291: '.' | Latency: 7.39ms
Token 292: ' ' | Latency: 7.46ms
Token 293: ' **' | Latency: 7.44ms
Token 294: 'Predict' | Latency: 7.47ms
Token 295: 's' | Latency: 7.43ms
Token 296: ' Performance' | Latency: 7.49ms
Token 297: '**:' | Latency: 7.46ms
Token 298: ' Big' | Latency: 7.51ms
Token 299: ' O' | Latency: 7.47ms
Token 300: ' notation' | Latency: 7.51ms
Token 301: ' allows' | Latency: 7.43ms
Token 302: ' us' | Latency: 7.56ms
Token 303: ' to' | Latency: 7.36ms
Token 304: ' estimate' | Latency: 7.47ms
Token 305: ' how' | Latency: 7.59ms
Token 306: ' long' | Latency: 7.34ms
Token 307: ' an' | Latency: 7.40ms
Token 308: ' algorithm' | Latency: 7.41ms
Token 309: ' will' | Latency: 7.46ms
Token 310: ' take' | Latency: 7.40ms
Token 311: ' to' | Latency: 7.34ms
Token 312: ' complete' | Latency: 7.64ms
Token 313: ' on' | Latency: 7.28ms
Token 314: ' large' | Latency: 7.53ms
Token 315: ' inputs' | Latency: 7.36ms
Token 316: ',' | Latency: 7.52ms
Token 317: ' which' | Latency: 7.34ms
Token 318: ' helps' | Latency: 7.55ms
Token 319: ' with' | Latency: 7.45ms
Token 320: ' scalability' | Latency: 7.56ms
Token 321: ' and' | Latency: 7.37ms
Token 322: ' performance' | Latency: 7.56ms
Token 323: ' optimization' | Latency: 7.38ms
Token 324: '.
' | Latency: 7.54ms
Token 325: '2' | Latency: 7.39ms
Token 326: '.' | Latency: 7.55ms
Token 327: ' ' | Latency: 7.39ms
Token 328: ' **' | Latency: 7.55ms
Token 329: 'Comp' | Latency: 7.38ms
Token 330: 'ares' | Latency: 7.48ms
Token 331: ' Algorithms' | Latency: 7.36ms
Token 332: '**:' | Latency: 7.51ms
Token 333: ' By' | Latency: 7.33ms
Token 334: ' analyzing' | Latency: 7.50ms
Token 335: ' the' | Latency: 7.34ms
Token 336: ' time' | Latency: 7.58ms
Token 337: ' or' | Latency: 7.32ms
Token 338: ' space' | Latency: 7.50ms
Token 339: ' complexity' | Latency: 7.50ms
Token 340: ' of' | Latency: 7.60ms
Token 341: ' different' | Latency: 7.32ms
Token 342: ' algorithms' | Latency: 7.49ms
Token 343: ',' | Latency: 7.38ms
Token 344: ' we' | Latency: 7.43ms
Token 345: ' can' | Latency: 7.43ms
Token 346: ' choose' | Latency: 7.54ms
Token 347: ' the' | Latency: 7.34ms
Token 348: ' most' | Latency: 7.65ms
Token 349: ' efficient' | Latency: 7.33ms
Token 350: ' solution' | Latency: 9.20ms
Token 351: ' for' | Latency: 7.98ms
Token 352: ' a' | Latency: 8.03ms
Token 353: ' given' | Latency: 7.43ms
Token 354: ' problem' | Latency: 8.58ms
Token 355: '.
' | Latency: 7.97ms
Token 356: '3' | Latency: 7.99ms
Token 357: '.' | Latency: 7.45ms
Token 358: ' ' | Latency: 7.48ms
Token 359: ' **' | Latency: 7.41ms
Token 360: 'Ident' | Latency: 7.49ms
Token 361: 'ifies' | Latency: 7.36ms
Token 362: ' Bott' | Latency: 7.49ms
Token 363: 'lene' | Latency: 7.41ms
Token 364: 'cks' | Latency: 7.52ms
Token 365: '**:' | Latency: 7.31ms
Token 366: ' Big' | Latency: 7.46ms
Token 367: ' O' | Latency: 7.34ms
Token 368: ' notation' | Latency: 7.43ms
Token 369: ' helps' | Latency: 7.61ms
Token 370: ' us' | Latency: 7.39ms
Token 371: ' identify' | Latency: 7.35ms
Token 372: ' performance' | Latency: 7.44ms
Token 373: ' bott' | Latency: 7.36ms
Token 374: 'lene' | Latency: 7.47ms
Token 375: 'cks' | Latency: 7.37ms
Token 376: ' in' | Latency: 7.44ms
Token 377: ' our' | Latency: 7.37ms
Token 378: ' code' | Latency: 7.44ms
Token 379: ',' | Latency: 7.36ms
Token 380: ' enabling' | Latency: 7.59ms
Token 381: ' us' | Latency: 7.39ms
Token 382: ' to' | Latency: 7.39ms
Token 383: ' optimize' | Latency: 7.30ms
Token 384: ' those' | Latency: 7.48ms
Token 385: ' areas' | Latency: 7.36ms
Token 386: ' and' | Latency: 7.47ms
Token 387: ' improve' | Latency: 7.35ms
Token 388: ' overall' | Latency: 9.16ms
Token 389: ' system' | Latency: 8.21ms
Token 390: ' efficiency' | Latency: 8.04ms
Token 391: '.

' | Latency: 7.91ms
Token 392: '**' | Latency: 7.51ms
Token 393: 'Example' | Latency: 7.37ms
Token 394: ' Use' | Latency: 7.50ms
Token 395: ' Case' | Latency: 7.29ms
Token 396: '**
' | Latency: 7.45ms
Token 397: '----------------' | Latency: 7.41ms
Token 398: '----

' | Latency: 7.34ms
Token 399: 'Sup' | Latency: 7.24ms
Token 400: 'pose' | Latency: 7.28ms
Token 401: ' we' | Latency: 7.45ms
Token 402: ' have' | Latency: 7.20ms
Token 403: ' two' | Latency: 7.28ms
Token 404: ' sorting' | Latency: 7.40ms
Token 405: ' algorithms' | Latency: 7.31ms
Token 406: ':' | Latency: 7.44ms
Token 407: ' bubble' | Latency: 7.32ms
Token 408: ' sort' | Latency: 7.41ms
Token 409: ' and' | Latency: 7.36ms
Token 410: ' quick' | Latency: 7.41ms
Token 411: 'sort' | Latency: 7.36ms
Token 412: '.' | Latency: 7.41ms
Token 413: ' Bubble' | Latency: 7.41ms
Token 414: ' sort' | Latency: 7.35ms
Token 415: ' has' | Latency: 7.33ms
Token 416: ' a' | Latency: 7.54ms
Token 417: ' time' | Latency: 7.25ms
Token 418: ' complexity' | Latency: 7.39ms
Token 419: ' of' | Latency: 7.32ms
Token 420: ' O' | Latency: 7.37ms
Token 421: '(n' | Latency: 7.29ms
Token 422: '^' | Latency: 7.41ms
Token 423: '2' | Latency: 7.31ms
Token 424: '),' | Latency: 7.38ms
Token 425: ' while' | Latency: 7.32ms
Token 426: ' quick' | Latency: 7.38ms
Token 427: 'sort' | Latency: 7.34ms
Token 428: ' has' | Latency: 7.39ms
Token 429: ' an' | Latency: 7.32ms
Token 430: ' average' | Latency: 7.39ms
Token 431: ' case' | Latency: 7.37ms
Token 432: ' time' | Latency: 7.31ms
Token 433: ' complexity' | Latency: 7.35ms
Token 434: ' of' | Latency: 7.37ms
Token 435: ' O' | Latency: 7.33ms
Token 436: '(n' | Latency: 7.49ms
Token 437: ' log' | Latency: 7.24ms
Token 438: ' n' | Latency: 8.49ms
Token 439: ').

' | Latency: 8.43ms
Token 440: '```' | Latency: 7.80ms
Token 441: 'python' | Latency: 7.19ms
Token 442: '
' | Latency: 7.52ms
Token 443: 'import' | Latency: 7.18ms
Token 444: ' random' | Latency: 7.43ms
Token 445: '

' | Latency: 7.18ms
Token 446: 'def' | Latency: 7.37ms
Token 447: ' bubble' | Latency: 7.26ms
Token 448: '_sort' | Latency: 7.29ms
Token 449: '(arr' | Latency: 8.61ms
Token 450: '):
' | Latency: 7.90ms
Token 451: '   ' | Latency: 7.28ms
Token 452: ' for' | Latency: 7.37ms
Token 453: ' i' | Latency: 7.28ms
Token 454: ' in' | Latency: 7.38ms
Token 455: ' range' | Latency: 7.27ms
Token 456: '(len' | Latency: 7.32ms
Token 457: '(arr' | Latency: 7.29ms
Token 458: ')):
' | Latency: 7.32ms
Token 459: '       ' | Latency: 7.25ms
Token 460: ' for' | Latency: 7.37ms
Token 461: ' j' | Latency: 7.23ms
Token 462: ' in' | Latency: 7.42ms
Token 463: ' range' | Latency: 7.28ms
Token 464: '(len' | Latency: 7.37ms
Token 465: '(arr' | Latency: 7.27ms
Token 466: ')' | Latency: 7.38ms
Token 467: ' -' | Latency: 7.26ms
Token 468: ' ' | Latency: 7.36ms
Token 469: '1' | Latency: 7.31ms
Token 470: '):
' | Latency: 7.36ms
Token 471: '           ' | Latency: 7.29ms
Token 472: ' if' | Latency: 7.40ms
Token 473: ' arr' | Latency: 7.35ms
Token 474: '[j' | Latency: 7.34ms
Token 475: ']' | Latency: 7.31ms
Token 476: ' >' | Latency: 7.40ms
Token 477: ' arr' | Latency: 7.28ms
Token 478: '[j' | Latency: 7.41ms
Token 479: ' +' | Latency: 7.28ms
