
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Recursion' | Latency: 284.75ms
Token 32: ' dream' | Latency: 18.72ms
Token 33: '.' | Latency: 18.73ms
Token 34: '

' | Latency: 18.76ms
Token 35: 'Can' | Latency: 18.60ms
Token 36: ' it' | Latency: 18.68ms
Token 37: ' feel' | Latency: 18.64ms
Token 38: '?' | Latency: 18.62ms
Token 39: ' Can' | Latency: 20.78ms
Token 40: ' it' | Latency: 18.79ms
Token 41: ' truly' | Latency: 20.58ms
Token 42: ' think' | Latency: 18.81ms
Token 43: '?' | Latency: 18.53ms
Token 44: '
' | Latency: 18.66ms
Token 45: 'Or' | Latency: 18.63ms
Token 46: ' mimic' | Latency: 18.76ms
Token 47: ' thought' | Latency: 18.70ms
Token 48: ' on' | Latency: 19.89ms
Token 49: ' logic' | Latency: 18.67ms
Token 50: ''' | Latency: 18.90ms
Token 51: 's' | Latency: 18.61ms
Token 52: ' brink' | Latency: 19.07ms
Token 53: '?' | Latency: 18.49ms
Token 54: '
' | Latency: 18.68ms
Token 55: 'The' | Latency: 18.58ms
Token 56: ' line' | Latency: 18.75ms
Token 57: ' bl' | Latency: 20.30ms
Token 58: 'urs' | Latency: 18.64ms
Token 59: ',' | Latency: 21.04ms
Token 60: ' the' | Latency: 18.56ms
Token 61: ' question' | Latency: 21.25ms
Token 62: ' stings' | Latency: 18.74ms
Token 63: ',' | Latency: 18.88ms
Token 64: '
' | Latency: 18.54ms
Token 65: 'As' | Latency: 18.67ms
Token 66: ' AI' | Latency: 20.95ms
Token 67: ' rises' | Latency: 18.96ms
Token 68: ' on' | Latency: 18.75ms
Token 69: ' silicon' | Latency: 20.85ms
Token 70: ' wings' | Latency: 18.97ms
Token 71: '.' | Latency: 18.47ms
Token 72: ' ' | Latency: 18.53ms
Token 73: '


' | Latency: 20.88ms

--- Summary ---
Total tokens: 73
TTFT: 271.86ms
TPOT: 22.96ms
ITL Mean: 19.20ms
Throughput: 43.56 tok/s

============================================================
Request 4/5
Prompt: Describe the Big O notation and why it matters.
============================================================
Token 1: '##' | Latency: 282.55ms
Token 2: ' Understanding' | Latency: 20.79ms
Token 3: ' Big' | Latency: 18.39ms
Token 4: ' O' | Latency: 18.43ms
Token 5: ' Notation' | Latency: 18.41ms
Token 6: '

' | Latency: 18.49ms
Token 7: 'Big' | Latency: 18.58ms
Token 8: ' O' | Latency: 18.62ms
Token 9: ' notation' | Latency: 18.93ms
Token 10: ' is' | Latency: 18.39ms
Token 11: ' a' | Latency: 18.68ms
Token 12: ' mathematical' | Latency: 18.76ms
Token 13: ' way' | Latency: 18.77ms
Token 14: ' to' | Latency: 18.79ms
Token 15: ' describe' | Latency: 18.78ms
Token 16: ' the' | Latency: 18.93ms
Token 17: ' **' | Latency: 18.80ms
Token 18: 'efficiency' | Latency: 18.82ms
Token 19: '**' | Latency: 19.02ms
Token 20: ' of' | Latency: 18.40ms
Token 21: ' an' | Latency: 18.43ms
Token 22: ' algorithm' | Latency: 18.59ms
Token 23: '.' | Latency: 20.82ms
Token 24: ' Think' | Latency: 18.70ms
Token 25: ' of' | Latency: 18.29ms
Token 26: ' it' | Latency: 18.73ms
Token 27: ' as' | Latency: 20.60ms
Token 28: ' a' | Latency: 18.60ms
Token 29: ' shorthand' | Latency: 18.63ms
Token 30: ' for' | Latency: 18.72ms
Token 31: ' understanding' | Latency: 18.66ms
Token 32: ' how' | Latency: 18.83ms
Token 33: ' the' | Latency: 19.60ms
Token 34: ' runtime' | Latency: 19.74ms
Token 35: ' or' | Latency: 18.42ms
Token 36: ' memory' | Latency: 18.58ms
Token 37: ' usage' | Latency: 19.19ms
Token 38: ' of' | Latency: 18.65ms
Token 39: ' your' | Latency: 18.56ms
Token 40: ' code' | Latency: 21.06ms
Token 41: ' scales' | Latency: 20.57ms
Token 42: ' as' | Latency: 18.57ms
Token 43: ' the' | Latency: 18.70ms
Token 44: ' input' | Latency: 18.70ms
Token 45: ' size' | Latency: 18.63ms
Token 46: ' grows' | Latency: 18.81ms
Token 47: '.' | Latency: 18.80ms
Token 48: '

' | Latency: 18.82ms
Token 49: 'Instead' | Latency: 18.91ms
Token 50: ' of' | Latency: 20.08ms
Token 51: ' measuring' | Latency: 20.01ms
Token 52: ' exact' | Latency: 18.64ms
Token 53: ' time' | Latency: 19.88ms
Token 54: ' or' | Latency: 18.62ms
Token 55: ' space' | Latency: 18.59ms
Token 56: ',' | Latency: 19.81ms
Token 57: ' Big' | Latency: 18.50ms
Token 58: ' O' | Latency: 18.91ms
Token 59: ' focuses' | Latency: 18.50ms
Token 60: ' on' | Latency: 18.74ms
Token 61: ' the' | Latency: 18.63ms
Token 62: ' **' | Latency: 18.75ms
Token 63: 'dominant' | Latency: 18.71ms
Token 64: ' terms' | Latency: 18.84ms
Token 65: '**' | Latency: 18.80ms
Token 66: ' that' | Latency: 18.85ms
Token 67: ' influence' | Latency: 18.80ms
Token 68: ' performance' | Latency: 19.53ms
Token 69: ' as' | Latency: 19.76ms
Token 70: ' the' | Latency: 18.60ms
Token 71: ' input' | Latency: 18.54ms
Token 72: ' approaches' | Latency: 18.68ms
Token 73: ' infinity' | Latency: 18.70ms
Token 74: '.' | Latency: 18.73ms
Token 75: ' ' | Latency: 18.65ms
Token 76: '

' | Latency: 18.71ms
Token 77: 'Here' | Latency: 18.77ms
Token 78: ''' | Latency: 19.94ms
Token 79: 's' | Latency: 18.66ms
Token 80: ' a' | Latency: 19.90ms
Token 81: ' breakdown' | Latency: 18.76ms
Token 82: ':' | Latency: 19.81ms
Token 83: '

' | Latency: 19.26ms
Token 84: '*' | Latency: 18.64ms
Token 85: ' **' | Latency: 21.04ms
Token 86: 'O' | Latency: 20.79ms
Token 87: '(' | Latency: 18.48ms
Token 88: '1' | Latency: 18.63ms
Token 89: '):' | Latency: 18.61ms
Token 90: ' Constant' | Latency: 18.68ms
Token 91: ' Time' | Latency: 18.63ms
Token 92: ':**' | Latency: 18.70ms
Token 93: '  ' | Latency: 18.71ms
Token 94: 'The' | Latency: 18.77ms
Token 95: ' algorithm' | Latency: 18.74ms
Token 96: ' takes' | Latency: 18.84ms
Token 97: ' the' | Latency: 18.80ms
Token 98: ' same' | Latency: 18.93ms
Token 99: ' amount' | Latency: 18.89ms
Token 100: ' of' | Latency: 18.91ms
Token 101: ' time' | Latency: 18.95ms
Token 102: ' regardless' | Latency: 19.00ms
Token 103: ' of' | Latency: 18.92ms
Token 104: ' the' | Latency: 18.91ms
Token 105: ' input' | Latency: 18.72ms
Token 106: ' size' | Latency: 18.70ms
Token 107: '.' | Latency: 18.69ms
Token 108: ' Example' | Latency: 18.72ms
Token 109: ':' | Latency: 18.73ms
Token 110: ' Access' | Latency: 18.74ms
Token 111: 'ing' | Latency: 18.74ms
Token 112: ' an' | Latency: 18.81ms
Token 113: ' element' | Latency: 18.81ms
Token 114: ' in' | Latency: 18.93ms
Token 115: ' an' | Latency: 18.90ms
Token 116: ' array' | Latency: 18.90ms
Token 117: ' by' | Latency: 20.02ms
Token 118: ' index' | Latency: 18.76ms
Token 119: '.' | Latency: 21.07ms
Token 120: '
' | Latency: 18.83ms
Token 121: '*' | Latency: 20.56ms
Token 122: ' **' | Latency: 19.76ms
Token 123: 'O' | Latency: 18.46ms
Token 124: '(' | Latency: 18.60ms
Token 125: 'log' | Latency: 18.55ms
Token 126: ' n' | Latency: 18.71ms
Token 127: '):' | Latency: 19.85ms
Token 128: ' Log' | Latency: 18.70ms
Token 129: 'arithmic' | Latency: 18.87ms
Token 130: ' Time' | Latency: 18.98ms
Token 131: ':**' | Latency: 18.51ms
Token 132: ' The' | Latency: 19.67ms
Token 133: ' runtime' | Latency: 21.05ms
Token 134: ' grows' | Latency: 18.92ms
Token 135: ' slowly' | Latency: 18.64ms
Token 136: ' as' | Latency: 18.88ms
Token 137: ' the' | Latency: 18.73ms
Token 138: ' input' | Latency: 18.78ms
Token 139: ' size' | Latency: 18.69ms
Token 140: ' increases' | Latency: 19.03ms
Token 141: '.' | Latency: 18.48ms
Token 142: ' Example' | Latency: 18.71ms
Token 143: ':' | Latency: 18.69ms
Token 144: ' Binary' | Latency: 18.65ms
Token 145: ' search' | Latency: 18.63ms
Token 146: ' in' | Latency: 18.78ms
Token 147: ' a' | Latency: 18.71ms
Token 148: ' sorted' | Latency: 18.98ms
Token 149: ' list' | Latency: 18.72ms
Token 150: '.' | Latency: 18.85ms
Token 151: '
' | Latency: 18.84ms
Token 152: '*' | Latency: 18.86ms
Token 153: ' **' | Latency: 18.78ms
Token 154: 'O' | Latency: 18.74ms
Token 155: '(' | Latency: 18.68ms
Token 156: 'n' | Latency: 18.71ms
Token 157: '):' | Latency: 18.68ms
Token 158: ' Linear' | Latency: 18.73ms
Token 159: ' Time' | Latency: 18.67ms
Token 160: ':**' | Latency: 18.77ms
Token 161: ' The' | Latency: 18.75ms
Token 162: ' runtime' | Latency: 18.75ms
Token 163: ' increases' | Latency: 18.72ms
Token 164: ' proportionally' | Latency: 18.94ms
Token 165: ' with' | Latency: 18.96ms
Token 166: ' the' | Latency: 18.79ms
Token 167: ' input' | Latency: 18.63ms
Token 168: ' size' | Latency: 18.89ms
Token 169: '.' | Latency: 18.57ms
Token 170: ' Example' | Latency: 18.80ms
Token 171: ':' | Latency: 18.66ms
Token 172: ' Iter' | Latency: 18.65ms
Token 173: 'ating' | Latency: 18.74ms
Token 174: ' through' | Latency: 18.71ms
Token 175: ' each' | Latency: 18.75ms
Token 176: ' element' | Latency: 18.85ms
Token 177: ' in' | Latency: 18.76ms
Token 178: ' a' | Latency: 18.77ms
Token 179: ' list' | Latency: 18.77ms
Token 180: '.' | Latency: 18.73ms
Token 181: '
' | Latency: 18.64ms
Token 182: '*' | Latency: 18.62ms
Token 183: ' **' | Latency: 18.56ms
Token 184: 'O' | Latency: 18.62ms
Token 185: '(' | Latency: 18.62ms
Token 186: 'n' | Latency: 18.71ms
Token 187: ' log' | Latency: 18.64ms
Token 188: ' n' | Latency: 21.02ms
Token 189: '):' | Latency: 18.83ms
Token 190: ' Log' | Latency: 18.64ms
Token 191: '-' | Latency: 20.66ms
Token 192: 'Linear' | Latency: 18.82ms
Token 193: ' Time' | Latency: 18.61ms
Token 194: ':**' | Latency: 18.80ms
Token 195: '  ' | Latency: 18.63ms
Token 196: 'A' | Latency: 19.92ms
Token 197: ' common' | Latency: 18.52ms
Token 198: ' complexity' | Latency: 18.72ms
Token 199: ' for' | Latency: 18.63ms
Token 200: ' efficient' | Latency: 18.69ms
Token 201: ' sorting' | Latency: 18.62ms
Token 202: ' algorithms' | Latency: 18.77ms
Token 203: ' like' | Latency: 18.56ms
Token 204: ' merge' | Latency: 18.79ms
Token 205: ' sort' | Latency: 18.81ms
Token 206: ' and' | Latency: 20.21ms
Token 207: ' quicks' | Latency: 18.79ms
Token 208: 'ort' | Latency: 18.75ms
Token 209: '.' | Latency: 20.94ms
Token 210: '

' | Latency: 18.75ms
Token 211: '*' | Latency: 18.69ms
Token 212: ' **' | Latency: 18.87ms
Token 213: 'O' | Latency: 18.74ms
Token 214: '(' | Latency: 18.82ms
Token 215: 'n' | Latency: 18.75ms
Token 216: '^' | Latency: 18.85ms
Token 217: '2' | Latency: 18.76ms
Token 218: '):' | Latency: 18.81ms
Token 219: ' Quadratic' | Latency: 18.79ms
Token 220: ' Time' | Latency: 18.82ms
Token 221: ':**' | Latency: 18.78ms
Token 222: ' The' | Latency: 18.82ms
Token 223: ' runtime' | Latency: 18.85ms
Token 224: ' increases' | Latency: 18.92ms
Token 225: ' quadrat' | Latency: 18.86ms
Token 226: 'ically' | Latency: 21.39ms
Token 227: ' with' | Latency: 19.00ms
Token 228: ' the' | Latency: 20.80ms
Token 229: ' input' | Latency: 18.78ms
Token 230: ' size' | Latency: 18.87ms
Token 231: '.' | Latency: 18.81ms
Token 232: ' Example' | Latency: 18.91ms
Token 233: ':' | Latency: 18.86ms
Token 234: ' Nested' | Latency: 18.81ms
Token 235: ' loops' | Latency: 18.70ms
Token 236: ' iter' | Latency: 18.75ms
Token 237: 'ating' | Latency: 18.74ms
Token 238: ' over' | Latency: 18.79ms
Token 239: ' all' | Latency: 21.59ms
Token 240: ' pairs' | Latency: 18.77ms
Token 241: ' of' | Latency: 18.84ms
Token 242: ' elements' | Latency: 18.86ms
Token 243: ' in' | Latency: 18.91ms
Token 244: ' a' | Latency: 18.92ms
Token 245: ' list' | Latency: 18.86ms
Token 246: '.' | Latency: 18.93ms
Token 247: '
' | Latency: 18.95ms
Token 248: '*' | Latency: 19.02ms
Token 249: ' **' | Latency: 19.12ms
Token 250: 'O' | Latency: 18.93ms
Token 251: '(' | Latency: 18.77ms
Token 252: '2' | Latency: 18.88ms
Token 253: '^' | Latency: 18.89ms
Token 254: 'n' | Latency: 18.85ms
Token 255: '):' | Latency: 18.77ms
Token 256: ' Exponential' | Latency: 18.81ms
Token 257: ' Time' | Latency: 18.74ms
Token 258: ':**' | Latency: 18.81ms
Token 259: ' Runtime' | Latency: 20.84ms
Token 260: ' doubles' | Latency: 19.01ms
Token 261: ' with' | Latency: 18.71ms
Token 262: ' each' | Latency: 21.01ms
Token 263: ' addition' | Latency: 18.79ms
Token 264: ' to' | Latency: 18.91ms
Token 265: ' the' | Latency: 18.94ms
Token 266: ' input' | Latency: 18.85ms
Token 267: ' size' | Latency: 18.91ms
Token 268: '.' | Latency: 18.95ms
Token 269: ' These' | Latency: 18.87ms
Token 270: ' algorithms' | Latency: 18.84ms
Token 271: ' are' | Latency: 18.75ms
Token 272: ' often' | Latency: 18.79ms
Token 273: ' impractical' | Latency: 18.77ms
Token 274: ' for' | Latency: 18.83ms
Token 275: ' large' | Latency: 18.73ms
Token 276: ' inputs' | Latency: 18.81ms
Token 277: '.' | Latency: 18.83ms
Token 278: '

' | Latency: 18.87ms
Token 279: '**' | Latency: 18.92ms
Token 280: 'Why' | Latency: 19.01ms
Token 281: ' Big' | Latency: 19.02ms
Token 282: ' O' | Latency: 19.17ms
Token 283: ' Matters' | Latency: 19.25ms
Token 284: ':**' | Latency: 18.80ms
Token 285: '


' | Latency: 18.92ms
Token 286: '1' | Latency: 20.03ms
Token 287: '.' | Latency: 18.77ms
Token 288: ' **' | Latency: 20.96ms
Token 289: 'Performance' | Latency: 19.49ms
Token 290: ' Prediction' | Latency: 21.05ms
Token 291: ':**' | Latency: 18.57ms
Token 292: '  ' | Latency: 18.77ms
Token 293: 'Big' | Latency: 18.71ms
Token 294: ' O' | Latency: 19.04ms
Token 295: ' helps' | Latency: 18.68ms
Token 296: ' predict' | Latency: 19.02ms
Token 297: ' how' | Latency: 18.86ms
Token 298: ' your' | Latency: 18.93ms
Token 299: ' code' | Latency: 18.99ms
Token 300: ' will' | Latency: 19.06ms
Token 301: ' perform' | Latency: 19.00ms
Token 302: ' with' | Latency: 18.94ms
Token 303: ' larger' | Latency: 18.97ms
Token 304: ' datasets' | Latency: 19.03ms
Token 305: ',' | Latency: 18.91ms
Token 306: ' even' | Latency: 20.15ms
Token 307: ' before' | Latency: 18.69ms
Token 308: ' running' | Latency: 21.31ms
Token 309: ' it' | Latency: 20.83ms
Token 310: '.' | Latency: 18.82ms
Token 311: ' This' | Latency: 18.67ms
Token 312: ' is' | Latency: 18.76ms
Token 313: ' crucial' | Latency: 18.76ms
Token 314: ' for' | Latency: 18.86ms
Token 315: ' building' | Latency: 18.82ms
Token 316: ' scalable' | Latency: 18.86ms
Token 317: ' applications' | Latency: 18.90ms
Token 318: '.' | Latency: 18.92ms
Token 319: '
' | Latency: 18.88ms
Token 320: '2' | Latency: 18.90ms
Token 321: '.' | Latency: 18.91ms
Token 322: ' **' | Latency: 18.87ms
Token 323: 'Algorithm' | Latency: 18.89ms
Token 324: ' Comparison' | Latency: 18.96ms
Token 325: ':**' | Latency: 18.83ms
Token 326: ' It' | Latency: 20.35ms
Token 327: ' provides' | Latency: 21.71ms
Token 328: ' a' | Latency: 18.88ms
Token 329: ' standardized' | Latency: 18.71ms
Token 330: ' way' | Latency: 18.85ms
Token 331: ' to' | Latency: 18.82ms
Token 332: ' compare' | Latency: 19.03ms
Token 333: ' the' | Latency: 18.70ms
Token 334: ' efficiency' | Latency: 20.24ms
Token 335: ' of' | Latency: 18.94ms
Token 336: ' different' | Latency: 18.78ms
Token 337: ' algorithms' | Latency: 19.00ms
Token 338: ' for' | Latency: 18.90ms
Token 339: ' the' | Latency: 18.80ms
Token 340: ' same' | Latency: 21.25ms
Token 341: ' task' | Latency: 18.96ms
Token 342: '.' | Latency: 19.02ms
Token 343: '

' | Latency: 18.94ms
Token 344: '3' | Latency: 19.00ms
Token 345: '.' | Latency: 21.16ms
Token 346: ' **' | Latency: 18.73ms
Token 347: 'Code' | Latency: 19.84ms
Token 348: ' Optimization' | Latency: 19.95ms
Token 349: ':**' | Latency: 18.71ms
Token 350: ' Understanding' | Latency: 18.72ms
Token 351: ' Big' | Latency: 18.77ms
Token 352: ' O' | Latency: 19.09ms
Token 353: ' can' | Latency: 18.80ms
Token 354: ' guide' | Latency: 18.78ms
Token 355: ' you' | Latency: 21.13ms
Token 356: ' in' | Latency: 18.96ms
Token 357: ' identifying' | Latency: 21.06ms
Token 358: ' performance' | Latency: 18.97ms
Token 359: ' bottlenecks' | Latency: 18.82ms
Token 360: ' and' | Latency: 19.00ms
Token 361: ' optimizing' | Latency: 18.88ms
Token 362: ' your' | Latency: 18.92ms
Token 363: ' code' | Latency: 21.10ms
Token 364: ' for' | Latency: 21.21ms
Token 365: ' better' | Latency: 18.98ms
Token 366: ' scalability' | Latency: 18.94ms
Token 367: '.' | Latency: 18.91ms
Token 368: '
' | Latency: 18.87ms
Token 369: '4' | Latency: 18.86ms
Token 370: '.' | Latency: 18.96ms
Token 371: ' **' | Latency: 19.01ms
Token 372: 'Communication' | Latency: 18.87ms
Token 373: ':**' | Latency: 18.88ms
Token 374: '  ' | Latency: 18.77ms
Token 375: 'Big' | Latency: 18.84ms
Token 376: ' O' | Latency: 18.80ms
Token 377: ' is' | Latency: 18.81ms
Token 378: ' a' | Latency: 18.90ms
Token 379: ' common' | Latency: 18.85ms
Token 380: ' language' | Latency: 18.88ms
Token 381: ' among' | Latency: 18.83ms
Token 382: ' developers' | Latency: 18.95ms
Token 383: ',' | Latency: 19.01ms
Token 384: ' allowing' | Latency: 18.91ms
Token 385: ' them' | Latency: 18.98ms
Token 386: ' to' | Latency: 19.06ms
Token 387: ' effectively' | Latency: 19.09ms
Token 388: ' discuss' | Latency: 18.82ms
Token 389: ' and' | Latency: 18.78ms
Token 390: ' analyze' | Latency: 18.88ms
Token 391: ' algorithm' | Latency: 18.76ms
Token 392: ' complexity' | Latency: 21.06ms
Token 393: '.' | Latency: 18.78ms
Token 394: '



' | Latency: 20.97ms
Token 395: 'Remember' | Latency: 18.78ms
Token 396: ',' | Latency: 18.90ms
Token 397: ' Big' | Latency: 18.73ms
Token 398: ' O' | Latency: 19.03ms
Token 399: ' notation' | Latency: 18.80ms
Token 400: ' focuses' | Latency: 18.93ms
Token 401: ' on' | Latency: 18.94ms
Token 402: ' the' | Latency: 18.98ms
Token 403: ' **' | Latency: 18.93ms
Token 404: 'worst' | Latency: 19.08ms
Token 405: '-' | Latency: 18.97ms
Token 406: 'case' | Latency: 18.93ms
Token 407: ' scenario' | Latency: 18.88ms
Token 408: '**.' | Latency: 18.91ms
Token 409: ' While' | Latency: 18.77ms
Token 410: ' an' | Latency: 18.84ms
Token 411: ' algorithm' | Latency: 18.85ms
Token 412: ' might' | Latency: 18.92ms
Token 413: ' perform' | Latency: 18.85ms
Token 414: ' better' | Latency: 18.94ms
Token 415: ' in' | Latency: 18.87ms
Token 416: ' specific' | Latency: 19.00ms
Token 417: ' cases' | Latency: 18.98ms
Token 418: ',' | Latency: 19.03ms
Token 419: ' understanding' | Latency: 19.00ms
Token 420: ' its' | Latency: 19.04ms
Token 421: ' upper' | Latency: 19.00ms
Token 422: ' bound' | Latency: 18.98ms
Token 423: ' helps' | Latency: 18.86ms
Token 424: ' ensure' | Latency: 20.23ms
Token 425: ' reliable' | Latency: 19.77ms
Token 426: ' performance' | Latency: 18.76ms
Token 427: ' under' | Latency: 18.69ms
Token 428: ' all' | Latency: 18.96ms
Token 429: ' circumstances' | Latency: 19.03ms
Token 430: '.' | Latency: 18.89ms

--- Summary ---
Total tokens: 430
TTFT: 282.55ms
TPOT: 19.69ms
ITL Mean: 19.03ms
Throughput: 50.78 tok/s

============================================================
Request 5/5
Prompt: What is the purpose of a hash table data structure?
============================================================
Token 1: 'The' | Latency: 261.97ms
Token 2: ' purpose' | Latency: 23.05ms
Token 3: ' of' | Latency: 20.52ms
Token 4: ' a' | Latency: 18.28ms
Token 5: ' hash' | Latency: 20.82ms
Token 6: ' table' | Latency: 18.52ms
Token 7: ' data' | Latency: 18.43ms
Token 8: ' structure' | Latency: 18.71ms
Token 9: ' is' | Latency: 20.57ms
Token 10: ' to' | Latency: 18.63ms
Token 11: ' **' | Latency: 20.67ms
Token 12: 'efficient' | Latency: 18.69ms
Token 13: 'ly' | Latency: 18.64ms
Token 14: ' store' | Latency: 18.74ms
Token 15: ' and' | Latency: 18.70ms
Token 16: ' retrieve' | Latency: 18.93ms
Token 17: ' key' | Latency: 20.22ms
Token 18: '-' | Latency: 18.79ms
Token 19: 'value' | Latency: 19.07ms
Token 20: ' pairs' | Latency: 18.66ms
Token 21: '**.' | Latency: 21.05ms
Token 22: '  ' | Latency: 20.61ms
Token 23: '

' | Latency: 18.49ms
Token 24: 'Here' | Latency: 18.47ms
Token 25: ''' | Latency: 20.41ms
Token 26: 's' | Latency: 18.64ms
Token 27: ' how' | Latency: 18.42ms
Token 28: ' it' | Latency: 18.60ms
Token 29: ' achieves' | Latency: 18.63ms
Token 30: ' this' | Latency: 20.93ms
Token 31: ':' | Latency: 18.67ms
Token 32: '

' | Latency: 18.62ms
Token 33: '*' | Latency: 18.64ms
Token 34: ' **' | Latency: 18.74ms
Token 35: 'Hash' | Latency: 18.75ms
Token 36: ' Function' | Latency: 18.77ms
Token 37: ':**' | Latency: 20.87ms
Token 38: ' A' | Latency: 18.88ms
Token 39: ' hash' | Latency: 18.64ms
Token 40: ' function' | Latency: 18.73ms
Token 41: ' takes' | Latency: 18.92ms
Token 42: ' a' | Latency: 18.69ms
Token 43: ' key' | Latency: 18.79ms
Token 44: ' as' | Latency: 18.77ms
Token 45: ' input' | Latency: 18.67ms
Token 46: ' and' | Latency: 18.80ms
Token 47: ' outputs' | Latency: 18.95ms
Token 48: ' a' | Latency: 18.62ms
Token 49: ' unique' | Latency: 18.81ms
Token 50: ' numerical' | Latency: 18.83ms
Token 51: ' index' | Latency: 20.99ms
Token 52: ' (' | Latency: 18.98ms
Token 53: 'hash' | Latency: 20.99ms
Token 54: ' code' | Latency: 18.89ms
Token 55: ')' | Latency: 18.79ms
Token 56: ' within' | Latency: 18.84ms
Token 57: ' the' | Latency: 18.87ms
Token 58: ' hash' | Latency: 18.86ms
Token 59: ' table' | Latency: 19.04ms
Token 60: ''' | Latency: 18.70ms
Token 61: 's' | Latency: 18.84ms
Token 62: ' bounds' | Latency: 18.77ms
Token 63: '.' | Latency: 20.94ms
Token 64: ' This' | Latency: 18.85ms
Token 65: ' effectively' | Latency: 20.98ms
Token 66: ' maps' | Latency: 20.82ms
Token 67: ' keys' | Latency: 18.70ms
Token 68: ' to' | Latency: 18.61ms
Token 69: ' specific' | Latency: 20.91ms
Token 70: ' locations' | Latency: 18.71ms
Token 71: '.' | Latency: 18.75ms
Token 72: '
' | Latency: 18.89ms
Token 73: '*' | Latency: 18.75ms
Token 74: ' **' | Latency: 18.82ms
Token 75: 'Buckets' | Latency: 19.19ms
Token 76: '/' | Latency: 18.66ms
Token 77: 'Slots' | Latency: 18.86ms
Token 78: ':**' | Latency: 18.91ms
Token 79: ' The' | Latency: 18.86ms
Token 80: ' hash' | Latency: 18.77ms
Token 81: ' table' | Latency: 18.62ms
Token 82: ' consists' | Latency: 18.77ms
Token 83: ' of' | Latency: 18.70ms
Token 84: ' an' | Latency: 19.00ms
Token 85: ' array' | Latency: 18.79ms
Token 86: ' of' | Latency: 18.99ms
Token 87: ' "' | Latency: 18.98ms
Token 88: 'buckets' | Latency: 20.04ms
Token 89: '"' | Latency: 18.74ms
Token 90: ' or' | Latency: 18.89ms
Token 91: ' "' | Latency: 18.85ms
Token 92: 'slots' | Latency: 21.24ms
Token 93: '."' | Latency: 18.80ms
Token 94: ' Each' | Latency: 18.92ms
Token 95: ' bucket' | Latency: 18.91ms
Token 96: ' can' | Latency: 18.94ms
Token 97: ' hold' | Latency: 19.08ms
Token 98: ' one' | Latency: 18.80ms
Token 99: ' or' | Latency: 18.86ms
Token 100: ' more' | Latency: 18.78ms
Token 101: ' key' | Latency: 18.70ms
Token 102: '-' | Latency: 21.07ms
Token 103: 'value' | Latency: 18.77ms
Token 104: ' pairs' | Latency: 18.79ms
Token 105: '.' | Latency: 18.72ms
Token 106: '
' | Latency: 18.90ms
Token 107: '*' | Latency: 18.81ms
Token 108: ' **' | Latency: 21.58ms
Token 109: 'Collision' | Latency: 19.04ms
Token 110: ' Handling' | Latency: 18.86ms
Token 111: ':**' | Latency: 20.97ms
Token 112: ' When' | Latency: 20.87ms
Token 113: ' multiple' | Latency: 20.86ms
Token 114: ' keys' | Latency: 20.87ms
Token 115: ' hash' | Latency: 18.85ms
Token 116: ' to' | Latency: 18.94ms
Token 117: ' the' | Latency: 18.67ms
Token 118: ' same' | Latency: 18.80ms
Token 119: ' index' | Latency: 18.83ms
Token 120: ',' | Latency: 20.88ms
Token 121: ' a' | Latency: 18.61ms
Token 122: ' collision' | Latency: 21.78ms
Token 123: ' occurs' | Latency: 18.65ms
Token 124: '.' | Latency: 18.59ms
Token 125: ' Hash' | Latency: 20.92ms
Token 126: ' tables' | Latency: 18.79ms
Token 127: ' employ' | Latency: 18.48ms
Token 128: ' techniques' | Latency: 19.60ms
Token 129: ' like' | Latency: 18.66ms
Token 130: ' chaining' | Latency: 18.84ms
Token 131: ' (' | Latency: 18.77ms
Token 132: 'using' | Latency: 18.83ms
Token 133: ' linked' | Latency: 21.12ms
Token 134: ' lists' | Latency: 18.85ms
Token 135: ' within' | Latency: 18.78ms
Token 136: ' each' | Latency: 21.21ms
Token 137: ' bucket' | Latency: 18.82ms
Token 138: ')' | Latency: 21.19ms
Token 139: ' or' | Latency: 18.89ms
Token 140: ' open' | Latency: 18.77ms
Token 141: ' addressing' | Latency: 21.32ms
Token 142: ' (' | Latency: 18.73ms
Token 143: 'pro' | Latency: 21.25ms
Token 144: 'bing' | Latency: 18.82ms
Token 145: ' for' | Latency: 18.78ms
Token 146: ' alternative' | Latency: 18.92ms
Token 147: ' empty' | Latency: 18.88ms
Token 148: ' slots' | Latency: 21.19ms
Token 149: ')' | Latency: 18.85ms
Token 150: ' to' | Latency: 21.04ms
Token 151: ' handle' | Latency: 18.62ms
Token 152: ' collisions' | Latency: 18.66ms
Token 153: ' efficiently' | Latency: 18.61ms
Token 154: '.' | Latency: 21.07ms
Token 155: '

' | Latency: 20.55ms
Token 156: '**' | Latency: 18.85ms
Token 157: 'Key' | Latency: 18.50ms
Token 158: ' Advantages' | Latency: 21.07ms
Token 159: ' of' | Latency: 20.92ms
Token 160: ' Hash' | Latency: 18.74ms
Token 161: ' Tables' | Latency: 18.60ms
Token 162: ':**' | Latency: 21.11ms
Token 163: '


' | Latency: 18.61ms
Token 164: '*' | Latency: 21.10ms
Token 165: ' **' | Latency: 18.67ms
Token 166: 'Fast' | Latency: 18.89ms
Token 167: ' Average' | Latency: 18.65ms
Token 168: '-' | Latency: 18.84ms
