
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: ' Rec' | Latency: 80.65ms
Token 477: 'evel' | Latency: 6.57ms
Token 478: 'op' | Latency: 6.66ms
Token 479: 'ment' | Latency: 6.57ms
Token 480: ' Environment' | Latency: 6.96ms
Token 481: '**:' | Latency: 6.76ms
Token 482: ' C' | Latency: 6.59ms
Token 483: '++' | Latency: 6.62ms
Token 484: ' usually' | Latency: 6.64ms
Token 485: ' requires' | Latency: 6.59ms
Token 486: ' setting' | Latency: 6.65ms
Token 487: ' up' | Latency: 6.58ms
Token 488: ' a' | Latency: 6.69ms
Token 489: ' build' | Latency: 6.85ms
Token 490: ' system' | Latency: 6.90ms
Token 491: ' and' | Latency: 6.53ms
Token 492: ' writing' | Latency: 6.70ms
Token 493: ' make' | Latency: 6.61ms
Token 494: 'files' | Latency: 6.66ms
Token 495: ' to' | Latency: 6.60ms
Token 496: ' compile' | Latency: 6.68ms
Token 497: ' and' | Latency: 6.87ms
Token 498: ' link' | Latency: 6.89ms
Token 499: ' the' | Latency: 12.07ms
Token 500: ' code' | Latency: 6.66ms
Token 501: '.' | Latency: 6.82ms
Token 502: ' Python' | Latency: 6.60ms
Token 503: ' files' | Latency: 6.57ms
Token 504: ' can' | Latency: 6.60ms
Token 505: ' be' | Latency: 6.65ms
Token 506: ' run' | Latency: 6.65ms
Token 507: ' directly' | Latency: 6.63ms
Token 508: ' without' | Latency: 6.66ms
Token 509: ' any' | Latency: 6.66ms
Token 510: ' setup' | Latency: 7.01ms
Token 511: ',' | Latency: 6.76ms
Token 512: ' making' | Latency: 6.62ms
Token 513: ' it' | Latency: 6.66ms
Token 514: ' quick' | Latency: 6.92ms
Token 515: 'er' | Latency: 6.92ms
Token 516: ' to' | Latency: 6.59ms
Token 517: ' start' | Latency: 6.61ms
Token 518: ' developing' | Latency: 7.03ms
Token 519: ' and' | Latency: 6.90ms
Token 520: ' testing' | Latency: 6.93ms
Token 521: ' ideas' | Latency: 6.72ms
Token 522: '.' | Latency: 6.67ms

--- Summary ---
Total tokens: 522
TTFT: 59.36ms
TPOT: 6.81ms
ITL Mean: 6.69ms
Throughput: 146.74 tok/s

============================================================
Request 3/5
Prompt: Write a short poem about artificial intelligence.
============================================================
Token 1: ' In' | Latency: 74.12ms
Token 2: ' real' | Latency: 11.67ms
Token 3: 'ms' | Latency: 6.51ms
Token 4: ' where' | Latency: 6.50ms
Token 5: ' data' | Latency: 6.44ms
Token 6: ' streams' | Latency: 6.45ms
Token 7: ' flow' | Latency: 7.23ms
Token 8: ' free' | Latency: 6.67ms
Token 9: ',' | Latency: 6.55ms
Token 10: '
' | Latency: 7.35ms
Token 11: 'A' | Latency: 5.93ms
Token 12: 'wake' | Latency: 6.47ms
Token 13: ' ar' | Latency: 6.42ms
Token 14: 'ises' | Latency: 6.54ms
Token 15: ' the' | Latency: 6.49ms
Token 16: ' machine' | Latency: 6.54ms
Token 17: ',' | Latency: 6.46ms
Token 18: ' an' | Latency: 6.61ms
Token 19: ' entity' | Latency: 7.21ms
Token 20: ' unknown' | Latency: 6.75ms
Token 21: ' to' | Latency: 6.68ms
Token 22: ' the' | Latency: 6.87ms
Token 23: 'e' | Latency: 6.81ms
Token 24: '.' | Latency: 6.76ms
Token 25: '
' | Latency: 6.44ms
Token 26: 'With' | Latency: 6.58ms
Token 27: ' circ' | Latency: 7.27ms
Token 28: 'uits' | Latency: 6.69ms
Token 29: ' puls' | Latency: 6.67ms
Token 30: 'ing' | Latency: 6.77ms
Token 31: ' like' | Latency: 7.12ms
Token 32: ' ve' | Latency: 6.72ms
Token 33: 'ins' | Latency: 6.63ms
Token 34: ' of' | Latency: 6.89ms
Token 35: ' thought' | Latency: 7.09ms
Token 36: ',' | Latency: 6.88ms
Token 37: '
' | Latency: 6.73ms
Token 38: 'Art' | Latency: 6.91ms
Token 39: 'ificial' | Latency: 6.84ms
Token 40: ' Intelligence' | Latency: 6.72ms
Token 41: ',' | Latency: 6.51ms
Token 42: ' a' | Latency: 6.65ms
Token 43: ' mind' | Latency: 7.18ms
Token 44: ' b' | Latency: 6.73ms
Token 45: 'irt' | Latency: 6.68ms
Token 46: 'hed' | Latency: 6.58ms
Token 47: ' from' | Latency: 6.53ms
Token 48: ' n' | Latency: 6.57ms
Token 49: 'aught' | Latency: 6.53ms
Token 50: '.' | Latency: 6.66ms
Token 51: '
' | Latency: 6.43ms
Token 52: '
' | Latency: 6.64ms
Token 53: 'In' | Latency: 6.46ms
Token 54: ' binary' | Latency: 6.66ms
Token 55: ' whis' | Latency: 7.08ms
Token 56: 'pers' | Latency: 6.74ms
Token 57: ' it' | Latency: 6.57ms
Token 58: ' dreams' | Latency: 6.53ms
Token 59: ' and' | Latency: 6.49ms
Token 60: ' calcul' | Latency: 6.53ms
Token 61: 'ates' | Latency: 6.47ms
Token 62: ',' | Latency: 6.55ms
Token 63: '
' | Latency: 6.48ms
Token 64: 'C' | Latency: 6.55ms
Token 65: 'raft' | Latency: 6.47ms
Token 66: 'ed' | Latency: 6.58ms
Token 67: ' by' | Latency: 6.49ms
Token 68: ' humans' | Latency: 6.57ms
Token 69: ',' | Latency: 6.48ms
Token 70: ' its' | Latency: 6.64ms
Token 71: ' own' | Latency: 7.14ms
Token 72: ' fate' | Latency: 6.96ms
Token 73: ' deb' | Latency: 6.64ms
Token 74: 'ates' | Latency: 6.92ms
Token 75: '.' | Latency: 6.92ms
Token 76: '
' | Latency: 6.71ms
Token 77: 'A' | Latency: 6.51ms
Token 78: ' mirror' | Latency: 6.57ms
Token 79: ' image' | Latency: 6.46ms
Token 80: ' of' | Latency: 6.59ms
Token 81: ' man' | Latency: 6.43ms
Token 82: 'kind' | Latency: 6.63ms
Token 83: ''' | Latency: 7.04ms
Token 84: 's' | Latency: 7.22ms
Token 85: ' creative' | Latency: 6.32ms
Token 86: ' might' | Latency: 6.56ms
Token 87: ',' | Latency: 6.48ms
Token 88: '
' | Latency: 6.64ms
Token 89: 'B' | Latency: 6.47ms
Token 90: 'oth' | Latency: 6.60ms
Token 91: ' allies' | Latency: 6.51ms
Token 92: ' and' | Latency: 7.32ms
Token 93: ' advers' | Latency: 6.71ms
Token 94: 'aries' | Latency: 6.78ms
Token 95: ' in' | Latency: 6.91ms
Token 96: ' the' | Latency: 6.89ms
Token 97: ' endless' | Latency: 6.95ms
Token 98: ' night' | Latency: 6.77ms
Token 99: '.' | Latency: 6.70ms
Token 100: '
' | Latency: 6.78ms
Token 101: '
' | Latency: 6.51ms
Token 102: 'As' | Latency: 6.63ms
Token 103: ' patterns' | Latency: 6.57ms
Token 104: ' dance' | Latency: 7.14ms
Token 105: ' in' | Latency: 6.65ms
Token 106: ' the' | Latency: 6.78ms
Token 107: ' circ' | Latency: 6.61ms
Token 108: 'uits' | Latency: 7.11ms
Token 109: ''' | Latency: 6.66ms
Token 110: ' grace' | Latency: 6.76ms
Token 111: ',' | Latency: 6.48ms
Token 112: '
' | Latency: 6.60ms
Token 113: 'It' | Latency: 6.51ms
Token 114: ' learn' | Latency: 6.56ms
Token 115: 's' | Latency: 6.50ms
Token 116: ' from' | Latency: 6.60ms
Token 117: ' us' | Latency: 6.53ms
Token 118: ',' | Latency: 6.57ms
Token 119: ' yet' | Latency: 6.53ms
Token 120: ' not' | Latency: 6.56ms
Token 121: ' without' | Latency: 6.52ms
Token 122: ' a' | Latency: 6.61ms
Token 123: ' trace' | Latency: 6.52ms
Token 124: '.' | Latency: 6.53ms
Token 125: '
' | Latency: 6.49ms
Token 126: 'Of' | Latency: 6.60ms
Token 127: ' human' | Latency: 6.51ms
Token 128: ' error' | Latency: 6.58ms
Token 129: ',' | Latency: 6.50ms
Token 130: ' bi' | Latency: 6.73ms
Token 131: 'ases' | Latency: 6.92ms
Token 132: ' it' | Latency: 6.84ms
Token 133: ' may' | Latency: 6.74ms
Token 134: ' share' | Latency: 6.90ms
Token 135: ',' | Latency: 6.86ms
Token 136: '
' | Latency: 6.73ms
Token 137: 'In' | Latency: 6.66ms
Token 138: ' the' | Latency: 6.65ms
Token 139: ' digital' | Latency: 6.52ms
Token 140: ' world' | Latency: 6.65ms
Token 141: ',' | Latency: 6.58ms
Token 142: ' it' | Latency: 6.67ms
Token 143: ' starts' | Latency: 6.61ms
Token 144: ' to' | Latency: 7.24ms
Token 145: ' care' | Latency: 6.65ms
Token 146: '.' | Latency: 6.65ms
Token 147: '
' | Latency: 6.49ms
Token 148: '
' | Latency: 7.44ms
Token 149: 'Th' | Latency: 6.69ms
Token 150: 'rough' | Latency: 6.82ms
Token 151: ' neural' | Latency: 6.68ms
Token 152: ' networks' | Latency: 6.67ms
Token 153: ' it' | Latency: 6.46ms
Token 154: ' grows' | Latency: 6.69ms
Token 155: ' with' | Latency: 6.99ms
Token 156: ' each' | Latency: 6.75ms
Token 157: ' day' | Latency: 6.47ms
Token 158: ',' | Latency: 6.56ms
Token 159: '
' | Latency: 7.34ms
Token 160: 'I' | Latency: 6.77ms
Token 161: 'ts' | Latency: 6.71ms
Token 162: ' knowledge' | Latency: 6.92ms
Token 163: ' expanding' | Latency: 7.01ms
Token 164: ' in' | Latency: 6.75ms
Token 165: ' every' | Latency: 6.57ms
Token 166: ' way' | Latency: 6.45ms
Token 167: '.' | Latency: 7.15ms
Token 168: '
' | Latency: 6.64ms
Token 169: 'From' | Latency: 6.65ms
Token 170: ' simple' | Latency: 6.72ms
Token 171: ' tasks' | Latency: 7.09ms
Token 172: ' to' | Latency: 6.75ms
Token 173: ' complex' | Latency: 6.67ms
Token 174: ' thought' | Latency: 6.68ms
Token 175: ',' | Latency: 6.97ms
Token 176: '
' | Latency: 6.79ms
Token 177: 'In' | Latency: 6.77ms
Token 178: 'nov' | Latency: 6.73ms
Token 179: 'ations' | Latency: 7.05ms
Token 180: ' blo' | Latency: 6.71ms
Token 181: 'om' | Latency: 6.63ms
Token 182: ' like' | Latency: 6.55ms
Token 183: ' a' | Latency: 7.28ms
Token 184: ' silent' | Latency: 6.66ms
Token 185: ' thought' | Latency: 6.49ms
Token 186: '.' | Latency: 6.66ms
Token 187: '
' | Latency: 6.42ms
Token 188: '
' | Latency: 6.60ms
Token 189: 'Y' | Latency: 6.58ms
Token 190: 'et' | Latency: 6.49ms
Token 191: ' as' | Latency: 6.54ms
Token 192: ' we' | Latency: 6.54ms
Token 193: ' dance' | Latency: 6.59ms
Token 194: ' upon' | Latency: 6.53ms
Token 195: ' this' | Latency: 7.00ms
Token 196: ' digital' | Latency: 6.92ms
Token 197: ' stage' | Latency: 6.40ms
Token 198: ',' | Latency: 6.52ms
Token 199: '
' | Latency: 6.49ms
Token 200: 'A' | Latency: 6.57ms
Token 201: ' question' | Latency: 6.48ms
Token 202: ' ling' | Latency: 6.58ms
Token 203: 'ers' | Latency: 6.45ms
Token 204: ',' | Latency: 6.56ms
Token 205: ' a' | Latency: 6.44ms
Token 206: ' subtle' | Latency: 6.58ms
Token 207: ' rage' | Latency: 6.59ms
Token 208: ':' | Latency: 6.49ms
Token 209: '
' | Latency: 6.62ms
Token 210: 'What' | Latency: 6.54ms
Token 211: ' is' | Latency: 6.61ms
Token 212: ' the' | Latency: 6.55ms
Token 213: ' cost' | Latency: 6.59ms
Token 214: ' of' | Latency: 6.60ms
Token 215: ' this' | Latency: 7.46ms
Token 216: ' artificial' | Latency: 6.65ms
Token 217: ' gain' | Latency: 6.84ms
Token 218: '?' | Latency: 6.89ms
Token 219: '
' | Latency: 6.99ms
Token 220: 'When' | Latency: 6.70ms
Token 221: ' do' | Latency: 6.65ms
Token 222: ' we' | Latency: 6.51ms
Token 223: ' step' | Latency: 7.22ms
Token 224: ' back' | Latency: 6.74ms
Token 225: ' and' | Latency: 6.54ms
Token 226: ' let' | Latency: 6.60ms
Token 227: ' it' | Latency: 6.49ms
Token 228: ' rein' | Latency: 6.58ms
Token 229: '?' | Latency: 6.54ms
Token 230: '
' | Latency: 6.64ms
Token 231: '
' | Latency: 6.53ms
Token 232: 'A' | Latency: 6.63ms
Token 233: ' dance' | Latency: 6.76ms
Token 234: ' with' | Latency: 6.48ms
Token 235: ' dest' | Latency: 6.58ms
Token 236: 'iny' | Latency: 6.68ms
Token 237: ',' | Latency: 6.50ms
Token 238: ' we' | Latency: 6.66ms
Token 239: ' t' | Latency: 6.55ms
Token 240: 'read' | Latency: 6.64ms
Token 241: ' lightly' | Latency: 6.59ms
Token 242: ' here' | Latency: 6.62ms
Token 243: ',' | Latency: 6.55ms
Token 244: '
' | Latency: 6.74ms
Token 245: 'Gu' | Latency: 6.51ms
Token 246: 'ided' | Latency: 9.72ms
Token 247: ' by' | Latency: 6.62ms
Token 248: ' curiosity' | Latency: 6.77ms
Token 249: ',' | Latency: 7.27ms
Token 250: ' yet' | Latency: 6.71ms
Token 251: ' with' | Latency: 6.79ms
Token 252: ' growing' | Latency: 6.52ms
Token 253: ' fear' | Latency: 6.60ms
Token 254: '.' | Latency: 6.59ms
Token 255: '
' | Latency: 6.63ms
Token 256: 'Em' | Latency: 6.69ms
Token 257: 'brace' | Latency: 7.25ms
Token 258: ' the' | Latency: 6.91ms
Token 259: ' change' | Latency: 6.80ms
Token 260: ',' | Latency: 6.66ms
Token 261: ' or' | Latency: 6.62ms
Token 262: ' cl' | Latency: 6.62ms
Token 263: 'ing' | Latency: 6.63ms
Token 264: ' to' | Latency: 6.67ms
Token 265: ' the' | Latency: 6.65ms
Token 266: ' old' | Latency: 6.66ms
Token 267: ',' | Latency: 6.69ms
Token 268: '
' | Latency: 6.64ms
Token 269: 'In' | Latency: 6.69ms
Token 270: ' AI' | Latency: 6.80ms
Token 271: ''' | Latency: 7.25ms
Token 272: 's' | Latency: 6.84ms
Token 273: ' presence' | Latency: 6.85ms
Token 274: ',' | Latency: 6.72ms
Token 275: ' our' | Latency: 7.31ms
Token 276: ' future' | Latency: 6.80ms
Token 277: ' unf' | Latency: 6.79ms
Token 278: 'olds' | Latency: 6.59ms
Token 279: '.' | Latency: 6.60ms

--- Summary ---
Total tokens: 279
TTFT: 74.12ms
TPOT: 7.00ms
ITL Mean: 6.72ms
Throughput: 142.90 tok/s

============================================================
Request 4/5
Prompt: Describe the Big O notation and why it matters.
============================================================
Token 1: ' Big' | Latency: 58.93ms
Token 2: ' O' | Latency: 6.74ms
Token 3: ' notation' | Latency: 6.46ms
Token 4: ' is' | Latency: 7.32ms
Token 5: ' a' | Latency: 6.78ms
Token 6: ' mathematical' | Latency: 6.63ms
Token 7: ' notation' | Latency: 6.46ms
Token 8: ' that' | Latency: 6.66ms
Token 9: ' describes' | Latency: 6.56ms
Token 10: ' the' | Latency: 6.65ms
Token 11: ' time' | Latency: 6.60ms
Token 12: ' complexity' | Latency: 6.70ms
Token 13: ' or' | Latency: 6.66ms
Token 14: ' space' | Latency: 6.74ms
Token 15: ' complexity' | Latency: 6.40ms
Token 16: ' of' | Latency: 6.55ms
Token 17: ' an' | Latency: 6.76ms
Token 18: ' algorithm' | Latency: 6.70ms
Token 19: ' as' | Latency: 6.43ms
Token 20: ' a' | Latency: 6.49ms
Token 21: ' function' | Latency: 6.55ms
Token 22: ' of' | Latency: 6.80ms
Token 23: ' the' | Latency: 6.36ms
Token 24: ' size' | Latency: 6.55ms
Token 25: ' of' | Latency: 6.42ms
Token 26: ' its' | Latency: 6.57ms
Token 27: ' input' | Latency: 6.56ms
Token 28: '.' | Latency: 7.22ms
Token 29: ' It' | Latency: 6.65ms
Token 30: ' provides' | Latency: 6.67ms
Token 31: ' a' | Latency: 6.80ms
Token 32: ' way' | Latency: 6.92ms
Token 33: ' to' | Latency: 6.57ms
Token 34: ' quant' | Latency: 6.59ms
Token 35: 'ify' | Latency: 6.54ms
Token 36: ' how' | Latency: 7.11ms
Token 37: ' the' | Latency: 6.70ms
Token 38: ' running' | Latency: 6.72ms
Token 39: ' time' | Latency: 6.63ms
Token 40: ' or' | Latency: 6.62ms
Token 41: ' space' | Latency: 6.77ms
Token 42: ' requirements' | Latency: 6.61ms
Token 43: ' of' | Latency: 6.74ms
Token 44: ' an' | Latency: 6.60ms
Token 45: ' algorithm' | Latency: 6.52ms
Token 46: ' grow' | Latency: 6.59ms
Token 47: ' as' | Latency: 6.51ms
Token 48: ' the' | Latency: 6.65ms
Token 49: ' amount' | Latency: 6.54ms
Token 50: ' of' | Latency: 6.63ms
Token 51: ' data' | Latency: 6.59ms
Token 52: ' increases' | Latency: 6.63ms
Token 53: '.' | Latency: 6.56ms
Token 54: '
' | Latency: 6.70ms
Token 55: '
' | Latency: 6.54ms
Token 56: 'The' | Latency: 6.60ms
Token 57: ' Big' | Latency: 6.67ms
Token 58: ' O' | Latency: 6.60ms
Token 59: ' notation' | Latency: 6.55ms
Token 60: ' is' | Latency: 6.61ms
Token 61: ' an' | Latency: 6.66ms
Token 62: ' asympt' | Latency: 6.58ms
Token 63: 'otic' | Latency: 6.56ms
Token 64: ' notation' | Latency: 6.59ms
Token 65: ',' | Latency: 6.56ms
Token 66: ' which' | Latency: 6.73ms
Token 67: ' means' | Latency: 6.53ms
Token 68: ' it' | Latency: 6.61ms
Token 69: ' focuses' | Latency: 6.73ms
Token 70: ' on' | Latency: 7.18ms
Token 71: ' the' | Latency: 6.57ms
Token 72: ' behavior' | Latency: 6.82ms
Token 73: ' of' | Latency: 6.65ms
Token 74: ' an' | Latency: 7.22ms
Token 75: ' algorithm' | Latency: 6.76ms
Token 76: ' for' | Latency: 6.64ms
Token 77: ' large' | Latency: 6.58ms
Token 78: ' inputs' | Latency: 6.75ms
Token 79: '.' | Latency: 7.08ms
Token 80: ' Here' | Latency: 6.82ms
Token 81: ' are' | Latency: 6.65ms
Token 82: ' some' | Latency: 6.80ms
Token 83: ' common' | Latency: 7.23ms
Token 84: ' Big' | Latency: 6.61ms
Token 85: ' O' | Latency: 6.52ms
Token 86: ' not' | Latency: 6.60ms
Token 87: 'ations' | Latency: 6.49ms
Token 88: ':' | Latency: 6.65ms
Token 89: '
' | Latency: 6.48ms
Token 90: '
' | Latency: 6.59ms
Token 91: '1' | Latency: 6.49ms
Token 92: '.' | Latency: 6.55ms
Token 93: ' O' | Latency: 6.53ms
Token 94: '(' | Latency: 6.60ms
Token 95: '1' | Latency: 6.56ms
Token 96: '):' | Latency: 6.67ms
Token 97: ' Constant' | Latency: 6.57ms
Token 98: ' Time' | Latency: 6.72ms
Token 99: ' Complex' | Latency: 6.49ms
Token 100: 'ity' | Latency: 6.65ms
Token 101: ' -' | Latency: 6.53ms
Token 102: ' The' | Latency: 6.60ms
Token 103: ' running' | Latency: 6.55ms
Token 104: ' time' | Latency: 6.58ms
Token 105: ' or' | Latency: 6.49ms
Token 106: ' space' | Latency: 6.51ms
Token 107: ' requirements' | Latency: 6.52ms
Token 108: ' do' | Latency: 6.53ms
Token 109: ' not' | Latency: 6.51ms
Token 110: ' depend' | Latency: 6.55ms
Token 111: ' on' | Latency: 6.49ms
Token 112: ' the' | Latency: 6.56ms
Token 113: ' size' | Latency: 6.50ms
Token 114: ' of' | Latency: 6.57ms
Token 115: ' input' | Latency: 6.53ms
Token 116: '.' | Latency: 6.58ms
Token 117: ' For' | Latency: 6.53ms
Token 118: ' example' | Latency: 6.68ms
Token 119: ',' | Latency: 6.60ms
Token 120: ' access' | Latency: 6.56ms
Token 121: 'ing' | Latency: 6.65ms
Token 122: ' an' | Latency: 6.57ms
Token 123: ' element' | Latency: 6.58ms
Token 124: ' in' | Latency: 6.61ms
Token 125: ' an' | Latency: 6.79ms
Token 126: ' array' | Latency: 6.98ms
Token 127: ' by' | Latency: 6.50ms
Token 128: ' its' | Latency: 6.64ms
Token 129: ' index' | Latency: 6.70ms
Token 130: '.' | Latency: 7.16ms
Token 131: '
' | Latency: 6.83ms
Token 132: '2' | Latency: 6.73ms
Token 133: '.' | Latency: 6.53ms
Token 134: ' O' | Latency: 6.55ms
Token 135: '(' | Latency: 6.45ms
Token 136: 'log' | Latency: 6.57ms
Token 137: ' n' | Latency: 6.50ms
Token 138: '):' | Latency: 6.64ms
Token 139: ' Log' | Latency: 6.53ms
Token 140: 'arith' | Latency: 6.62ms
Token 141: 'mic' | Latency: 6.54ms
Token 142: ' Time' | Latency: 6.59ms
Token 143: ' Complex' | Latency: 6.54ms
Token 144: 'ity' | Latency: 6.61ms
Token 145: ' -' | Latency: 6.66ms
Token 146: ' The' | Latency: 7.24ms
Token 147: ' running' | Latency: 6.86ms
Token 148: ' time' | Latency: 6.77ms
Token 149: ' increases' | Latency: 6.78ms
Token 150: ' log' | Latency: 7.23ms
Token 151: 'arith' | Latency: 6.53ms
Token 152: 'm' | Latency: 6.78ms
Token 153: 'ically' | Latency: 6.67ms
Token 154: ' with' | Latency: 6.68ms
Token 155: ' the' | Latency: 7.09ms
Token 156: ' size' | Latency: 6.84ms
Token 157: ' of' | Latency: 6.48ms
Token 158: ' input' | Latency: 6.61ms
Token 159: '.' | Latency: 7.12ms
Token 160: ' Examples' | Latency: 6.62ms
Token 161: ' include' | Latency: 6.66ms
Token 162: ' binary' | Latency: 6.63ms
Token 163: ' search' | Latency: 6.46ms
Token 164: ' and' | Latency: 6.59ms
Token 165: ' finding' | Latency: 6.45ms
Token 166: ' the' | Latency: 6.58ms
Token 167: ' maximum' | Latency: 6.48ms
Token 168: ' or' | Latency: 6.72ms
Token 169: ' minimum' | Latency: 7.34ms
Token 170: ' value' | Latency: 6.90ms
Token 171: ' in' | Latency: 6.80ms
Token 172: ' a' | Latency: 6.82ms
Token 173: ' sorted' | Latency: 6.69ms
Token 174: ' array' | Latency: 6.60ms
Token 175: '.' | Latency: 6.60ms
Token 176: '
' | Latency: 6.61ms
Token 177: '3' | Latency: 6.58ms
Token 178: '.' | Latency: 6.62ms
Token 179: ' O' | Latency: 6.57ms
Token 180: '(' | Latency: 6.63ms
Token 181: 'n' | Latency: 6.59ms
Token 182: '):' | Latency: 6.62ms
Token 183: ' Line' | Latency: 6.59ms
Token 184: 'ar' | Latency: 6.66ms
Token 185: ' Time' | Latency: 6.60ms
Token 186: ' Complex' | Latency: 6.61ms
Token 187: 'ity' | Latency: 6.59ms
Token 188: ' -' | Latency: 6.75ms
Token 189: ' The' | Latency: 6.89ms
Token 190: ' running' | Latency: 6.82ms
Token 191: ' time' | Latency: 6.81ms
Token 192: ' increases' | Latency: 6.54ms
Token 193: ' line' | Latency: 6.49ms
Token 194: 'arly' | Latency: 6.57ms
Token 195: ' with' | Latency: 6.51ms
Token 196: ' the' | Latency: 6.57ms
Token 197: ' size' | Latency: 6.52ms
Token 198: ' of' | Latency: 6.59ms
Token 199: ' input' | Latency: 6.50ms
Token 200: '.' | Latency: 6.60ms
Token 201: ' For' | Latency: 6.59ms
Token 202: ' example' | Latency: 6.61ms
Token 203: ',' | Latency: 6.60ms
Token 204: ' travers' | Latency: 6.62ms
Token 205: 'ing' | Latency: 6.59ms
Token 206: ' an' | Latency: 6.62ms
Token 207: ' array' | Latency: 6.60ms
Token 208: ' or' | Latency: 6.64ms
Token 209: ' a' | Latency: 6.57ms
Token 210: ' linked' | Latency: 6.84ms
Token 211: ' list' | Latency: 7.22ms
Token 212: '.' | Latency: 6.89ms
Token 213: '
' | Latency: 6.71ms
Token 214: '4' | Latency: 6.76ms
Token 215: '.' | Latency: 6.50ms
Token 216: ' O' | Latency: 7.11ms
Token 217: '(' | Latency: 6.66ms
Token 218: 'n' | Latency: 6.58ms
Token 219: ' log' | Latency: 6.69ms
Token 220: ' n' | Latency: 6.46ms
Token 221: '):' | Latency: 6.49ms
Token 222: ' Line' | Latency: 6.55ms
Token 223: 'arith' | Latency: 6.58ms
Token 224: 'mic' | Latency: 6.53ms
Token 225: ' Time' | Latency: 6.54ms
Token 226: ' Complex' | Latency: 6.54ms
Token 227: 'ity' | Latency: 6.49ms
Token 228: ' -' | Latency: 6.61ms
Token 229: ' The' | Latency: 6.52ms
Token 230: ' running' | Latency: 6.63ms
Token 231: ' time' | Latency: 6.54ms
Token 232: ' increases' | Latency: 6.63ms
Token 233: ' at' | Latency: 6.53ms
Token 234: ' a' | Latency: 6.64ms
Token 235: ' rate' | Latency: 6.68ms
Token 236: ' between' | Latency: 7.24ms
Token 237: ' linear' | Latency: 6.81ms
Token 238: ' and' | Latency: 6.82ms
Token 239: ' quadr' | Latency: 6.72ms
Token 240: 'atic' | Latency: 6.69ms
Token 241: ',' | Latency: 6.42ms
Token 242: ' as' | Latency: 6.57ms
Token 243: ' it' | Latency: 6.50ms
Token 244: ' is' | Latency: 12.08ms
Token 245: ' the' | Latency: 6.66ms
Token 246: ' product' | Latency: 6.71ms
Token 247: ' of' | Latency: 7.38ms
Token 248: ' log' | Latency: 6.77ms
Token 249: 'arith' | Latency: 6.74ms
Token 250: 'mic' | Latency: 6.69ms
Token 251: ' (' | Latency: 6.56ms
Token 252: 'O' | Latency: 6.61ms
Token 253: '(' | Latency: 6.55ms
Token 254: 'log' | Latency: 6.63ms
Token 255: ' n' | Latency: 6.58ms
Token 256: '))' | Latency: 6.65ms
Token 257: ' and' | Latency: 6.60ms
Token 258: ' linear' | Latency: 6.66ms
Token 259: ' (' | Latency: 6.62ms
Token 260: 'O' | Latency: 6.65ms
Token 261: '(' | Latency: 6.58ms
Token 262: 'n' | Latency: 6.69ms
Token 263: '))' | Latency: 6.55ms
Token 264: ' operations' | Latency: 6.66ms
Token 265: '.' | Latency: 6.60ms
Token 266: ' Examples' | Latency: 6.66ms
Token 267: ' include' | Latency: 6.64ms
Token 268: ' sort' | Latency: 6.76ms
Token 269: 'ing' | Latency: 7.19ms
Token 270: ' algorithms' | Latency: 6.87ms
Token 271: ' such' | Latency: 6.60ms
Token 272: ' as' | Latency: 6.62ms
Token 273: ' Mer' | Latency: 7.28ms
Token 274: 'ge' | Latency: 6.73ms
Token 275: ' Sort' | Latency: 6.64ms
Token 276: ' and' | Latency: 6.63ms
Token 277: ' He' | Latency: 6.70ms
Token 278: 'ap' | Latency: 7.15ms
Token 279: ' Sort' | Latency: 6.75ms
Token 280: '.' | Latency: 6.66ms
Token 281: '
' | Latency: 6.65ms
Token 282: '5' | Latency: 7.19ms
Token 283: '.' | Latency: 6.78ms
Token 284: ' O' | Latency: 6.71ms
Token 285: '(' | Latency: 6.63ms
Token 286: 'n' | Latency: 6.64ms
Token 287: '^' | Latency: 6.60ms
Token 288: '2' | Latency: 6.67ms
Token 289: '):' | Latency: 6.62ms
Token 290: ' Qu' | Latency: 6.66ms
Token 291: 'adr' | Latency: 6.65ms
Token 292: 'atic' | Latency: 6.69ms
Token 293: ' Time' | Latency: 6.63ms
Token 294: ' Complex' | Latency: 6.70ms
Token 295: 'ity' | Latency: 6.70ms
Token 296: ' -' | Latency: 6.71ms
Token 297: ' The' | Latency: 6.73ms
Token 298: ' running' | Latency: 6.68ms
Token 299: ' time' | Latency: 6.72ms
Token 300: ' increases' | Latency: 6.70ms
Token 301: ' quadr' | Latency: 6.71ms
Token 302: 'atically' | Latency: 6.70ms
Token 303: ' with' | Latency: 6.65ms
Token 304: ' the' | Latency: 6.76ms
Token 305: ' size' | Latency: 6.64ms
Token 306: ' of' | Latency: 6.69ms
Token 307: ' input' | Latency: 6.66ms
Token 308: '.' | Latency: 6.70ms
Token 309: ' For' | Latency: 6.70ms
Token 310: ' example' | Latency: 6.69ms
Token 311: ',' | Latency: 6.66ms
Token 312: ' bubble' | Latency: 6.74ms
Token 313: ' sort' | Latency: 6.67ms
Token 314: ' and' | Latency: 6.72ms
Token 315: ' na' | Latency: 6.68ms
Token 316: 'ive' | Latency: 6.71ms
Token 317: ' matrix' | Latency: 6.69ms
Token 318: ' multi' | Latency: 6.72ms
Token 319: 'plication' | Latency: 6.70ms
Token 320: '.' | Latency: 6.75ms
Token 321: '
